title,name,Price Per Unit,Price Per Measure,Promotion,
Cow & Gate 3 Growing Up Milk Formula,Cow & Gate 3 Growing Up Milk Formula800g,£10.50,£1.31 per 100g,,baby-toddler
Cow & Gate 3 Growing Up Milk Formula Multipack,Cow & Gate 3 Growing Up Milk Formula Multipack15 x 200ml,£8.55,28.5p per 100ml,,baby-toddler
Cow & Gate Anti-Reflux Baby Milk Formula From Birth,Cow & Gate Anti-Reflux Baby M...800g,£14,£1.75 per 100g,,baby-toddler
Cow & Gate Baby Rice From 4 - 6M Onwards ,Cow & Gate Baby Rice From 4 - 6M Onwards 100g,£2.10,£2.10 per 100g,,baby-toddler
Cow & Gate Banana Porridge From 4 - 6M Onwards ,Cow & Gate Banana Porridg...125g,£2.40,19.2p per 10g,,baby-toddler
Cow & Gate Banana Wholegrain Porridge With Buckwheat From 7M Onwards,Cow & Gate Banana Wholegrain...200g,£2.75,£1.38 per 100g,,baby-toddler
Cow & Gate Berry Multigrain Porridge With Oat & Rye 4-6M Onwards,Cow & Gate Berry Multigrain Porridge...125g,£2.25,18p per 10g,,baby-toddler
Cow & Gate Comfort Baby Milk Formula From Birth,Cow & Gate Comfort Baby Milk Formula From Birth800g,£14,£1.75 per 100g,,baby-toddler
Cow & Gate Creamy Porridge From 4 - 6M Onwards ,Cow & Gate Creamy Porridg...125g,£2.40,£1.92 per 100g,,baby-toddler
Cow & Gate First Infant Milk,Cow & Gate First Infant Milk2 x 600g,£12.50,£1.04 per 100g,,baby-toddler
Cow & Gate First Infant Milk From Birth ,Cow & Gate First Infant Milk From Birth 1L,£4.30,43p per 100ml,,baby-toddler
 Cow & Gate First Infant Milk From Birth Ready To Feed , Cow & Gate First Infant Milk F...200ml,£1,50p per 100ml,,baby-toddler
Cow & Gate Follow On Milk,Cow & Gate Follow On Milk2 x 600g,£12.50,£1.04 per 100g,,baby-toddler
Cow & Gate Follow On Milk From 6-12 Months Ready To Feed,Cow & Gate Follow On Milk From...200ml,£1,50p per 100ml,,baby-toddler
