name,Price Per Unit,Price Per Measure,Promotion
Morrisons Choc Chip Brioche Rolls,Morrisons Choc Chip Brioche Rolls8 per pack,£1.55,19.4p each,
Morrisons Chocolate & Vanilla Jumbo Swiss Roll,Morrisons Chocolate & Vanilla Jumbo Swiss Roll,£1.55,,
Morrisons Chocolate Brownie Bar,Morrisons Chocolate Brownie Bar50g,£1.25,£2.50 per 100g,Food To Go Meal Deal for £3.50
Morrisons Chocolate Celebration Cake,Morrisons Chocolate Celebration Cake,£4.69,,
Morrisons Chocolate Cornflake Nests With Eggs,Morrisons Chocolate Cornf…2 per pack,£1.49,74.5p each,
Morrisons Chocolate Pancakes,Morrisons Chocolate Pancakes8 per pack,79p,9.9p each,
Morrisons Coconut Cakes,Morrisons Coconut Cakes6 per pack,£1.69,28.2p each,
Morrisons Coconut Sponge Cake,Morrisons Coconut Sponge Cake,£1.99,,
Morrisons Corn Tortilla Wrap,Morrisons Corn Tortilla Wrap8 per pack,£1.15,14.4p each,
Morrisons Counted Wholemeal Danish Bread ,Morrisons Counted Wholemeal Danish Bread 300g,65p,21.7p per 100g,
Morrisons Croissants ,Morrisons Croissants 6 per pack,£2.09,34.8p each,
Morrisons Crumpets,Morrisons Crumpets6 per pack,55p,9.2p each,
Morrisons Cupcake Platter,Morrisons Cupcake Platter12 per pack,£6.39,53.3p each,
Morrisons Decorate Your Own Celebration Cake Serves 12,Morrisons Decorate Your Own Cel…,£7.59,,
Morrisons Deliciously Chocolatey Celebration Cake Serves 16,Morrisons Deliciously Chocolatey…,£7.59,,
Morrisons Deliciously Chocolatey Celebration Cake Serves 8,Morrisons Deliciously Chocolatey…,£7.59,,
Morrisons Easter Bunny Cupcakes,Morrisons Easter Bunny Cupcakes2 per pack,£1.30,65p each,
Morrisons Easter Bunny Gingerbread Biscuit,Morrisons Easter Bunny Gingerbread Biscuit,99p,,
Morrisons Easter Decorate Your Own Gingerbread Egg,Morrisons Easter Decorate Y…5 per pack,£1.99,39.8p each,
Morrisons Fairy Princess Ball Celebration Cake Serves 8,Morrisons Fairy Princess Ball C…,£7.59,,
Morrisons Finger Rolls,Morrisons Finger Rolls6 per pack,85p,14.2p each,
Morrisons Flapjack Cake Bars,Morrisons Flapjack Cake Bars5 per pack,£1.20,24p each,
Morrisons Flooded Bunny Cupcakes,Morrisons Flooded Bunny Cupcakes2 per pack,£1.39,69.5p each,
Morrisons Floral Bouquet Celebration Cake Serves 16,Morrisons Floral Bouquet Cele…1.2kg,£13.99,£1.17 per 100g,
Morrisons Free From Cranberry & Orange Mini Bites,Morrisons Free From Cranber…135g,£2.99,£2.21 per 100g,
Morrisons Free From Shortbread Minis ,Morrisons Free From Shortbread Minis 250g,£3.49,£1.40 per 100g,
Morrisons Fresh Cream Sponge,Morrisons Fresh Cream Sponge,£2.99,,
Morrisons Fruited Teacakes,Morrisons Fruited Teacakes6 per pack,£1.05,17.5p each,
Morrisons  Fruity Flapjack Cake Bars,Morrisons  Fruity Flapjack Cake Bars175g,£1.20,68.6p per 100g,
Morrisons Garlic & Coriander Naan Bread,Morrisons Garlic & Coriander Naan Bread2 x 130g,£1.25,48.1p per 100g,
Morrisons Gingerbread Valentine Decorating Kit,Morrisons Gingerbread Valentine Decorating Kit,£2,,
Morrisons Gooey Chocolate Traybake Serves 15,Morrisons Gooey Chocola…,£7,,
Morrisons Happy Birthday Chocolate Celebration Cake Serves 16,Morrisons Happy Birthday Chocolate…,£9.99,,
Morrisons Hot Cross Buns ,Morrisons Hot Cross Buns 6 per pack,£1.15,19.2p each,
Morrisons Iced Madeira Slab Cake,Morrisons Iced Madeira Slab Cake,£1.59,,
Morrisons Lemon Curd Tarts,Morrisons Lemon Curd Tarts6 per pack,99p,16.5p each,"Offer price 99p, was £1.15"
Morrisons Let's Party Celebration Cake Serves 16,Morrisons Let's Party Celeb…1.05kg,£9.99,95.1p per 100g,
Morrisons Let's Party Celebration Cake Serves 8,Morrisons Let's Party Celebration Cake Serves 8541g,£7.59,£1.40 per 100g,
Morrisons Madeira Celebration Cake,Morrisons Madeira Celebration Cake,£4.69,,
Morrisons Madeira Slab Cake,Morrisons Madeira Slab Cake,£1.59,,
Morrisons Malted Brown Thick Sliced Bloomer,Morrisons Malted Brown Thick Sliced Bloomer800g,£1.45,18.1p per 100g,
Morrisons Medium White Bread,Morrisons Medium White Bread800g,89p,11.1p per 100g,
Morrisons Medium White Bread,Morrisons Medium White Bread400g,69p,17.3p per 100g,
Morrisons Medium Wholemeal Bread,Morrisons Medium Wholemeal Bread400g,69p,17.3p per 100g,
Morrisons Millionaire Shortbread Bar,Morrisons Millionaire Shortbread Bar50g,£1.25,£2.50 per 100g,Food To Go Meal Deal for £3.50
Morrisons Mini Afternoon Tea Cakes,Morrisons Mini Afternoon Tea Cakes9 per pack,£2.49,27.7p each,
Morrisons  Mini Chocolate Rolls,Morrisons  Mini Chocolate Rolls10 per pack,£1.25,12.5p each,
Morrisons Mini Easter Flooded Cupcakes,Morrisons Mini Easter Flooded Cupcakes9 per pack,£2.99,33.2p each,
Morrisons Morris The Caterpillar Celebration Cake Serves 12,Morrisons Morris The Caterpillar…,£6.99,,
Morrisons Pain Au Chocolat 6 Pack,Morrisons Pain Au Chocolat 6 Pack6 per pack,£2.09,34.8p each,
Morrisons Part Baked Petit Pains,Morrisons Part Baked Petit Pains6 per pack,99p,16.5p each,
Morrisons Part Baked White Baguettes,Morrisons Part Baked White Baguettes2 per pack,£1.09,54.5p each,
Morrisons  Plain Bagels,Morrisons  Plain Bagels5 per pack,95p,19p each,
Morrisons Plain Naan Bread,Morrisons Plain Naan Bread2 x 130g,£1.25,48.1p per 100g,
