name,Price Per Unit,Price Per Measure,Promotion
Aunty's Sticky Toffee Steamed Puddings,Aunty's Sticky Toffee Steamed Puddings190g,£1.50,£7.89 per kg,
Badshah Basmati Rice,Badshah Basmati Rice10kg,£16,£1.60 per kg,"Offer price £16, was £16.99"
Badshah Superior Aged Basmati Rice,Badshah Superior Aged Basmati Rice2kg,£3.50,£1.75 per kg,
Bahlsen Choco Leibniz Chunky Mint ,Bahlsen Choco Leibniz Chunky Mint 120g,£1.60,£1.33 per 100g,
Bahlsen Choco Leibniz Dark Chocolate Biscuits,Bahlsen Choco Leibniz Dark Chocolate Biscuits125g,£1.60,£1.28 per 100g,
Bahlsen Choco Leibniz Milk Chocolate Biscuits,Bahlsen Choco Leibniz Milk Chocolate Biscuits125g,£1.60,£1.28 per 100g,
Bahlsen Choco Leibniz Orange ,Bahlsen Choco Leibniz Orange 125g,£1.60,£1.28 per 100g,
Bahlsen Choco Leibniz White ,Bahlsen Choco Leibniz White 125g,£1.60,£1.28 per 100g,
Bahlsen PiCK UP! Milk Chocolate Biscuit Bars,Bahlsen PiCK UP! Milk Chocolate Biscuit Bars5 x 28g,£1.50,£1.07 per 100g,
Baileys Chocolate Giftwrap Box,Baileys Chocolate Giftwrap Box272g,£8,£2.94 per 100g,
Baileys Milk Chocolate Easter Egg With Baileys Truffles,Baileys Milk Chocolate Easter E…260g,£8,£3.08 per 100g,
Bake & Create Gold Marzipan,Bake & Create Gold Marzipan500g,£2.29,45.8p per 100g,
Bake & Create White Marzipan ,Bake & Create White Marzipan 500g,£2.29,45.8p per 100g,
Baked Beans with Vegetarian Sausages,Baked Beans with Vegetarian Sausages400g,£1.35,£3.38 per kg,
Baked With Love 10 Sugar Decorations Tropical Flamingo,Baked With Love 10 Sugar Decora…10 per pack,£1.50,15p each,
Baked With Love 6 Cup Cake Or 12 Fairy Cake Boxes,Baked With Love 6 Cup Cake…2 per pack,£2,£1.00 each,
Baked With Love Aqua Baking Cases,Baked With Love Aqua Baking Cases12 per pack,£1.50,12.5p each,
Baked With Love  Carrot Sugar Decorations,Baked With Love  Carrot Sugar Decorations6g,£1.85,£30.83 per 100g,
Baked With Love Dinosaur Candles,Baked With Love Dinosaur Candles5 per pack,£1.50,30p each,
Baked With Love Dinosaur Sugar Decorations,Baked With Love Dinosau…12 per pack,£1.85,15.4p each,
Baked With Love Floral Ditsy Cupcake Cases,Baked With Love Floral Ditsy Cupcake Cases100 per pack,£1.50,1.5p each,
Baked With Love Llama Baking Cases,Baked With Love Llama Baking Cases25 per pack,£1,4p each,
Baked With Love Mini Blossoms,Baked With Love Mini Blossoms48 per pack,£1.85,3.9p each,
Baked With Love Rosebud Bun Cases,Baked With Love Rosebud Bun Cases25 per pack,£1.25,5p each,
Baked With Love Spaceman Sugar Decorations,Baked With Love Spacema…10 per pack,£1.85,18.5p each,
Baked with Love Unicorn & Rainbow Sugar Decorations,Baked with Love Unicorn & Rai…10g,£1.85,£18.50 per 100g,
Baked With Love Unicorn Candles,Baked With Love Unicorn Candles6 per pack,£1.50,25p each,
Bare Naked Noodles          ,Bare Naked Noodles          300g,£2,£6.67 per kg,
Bare Naked Rice,Bare Naked Rice300g,£2,£6.67 per kg,
Barilla Fusilli Pasta,Barilla Fusilli Pasta500g,£1.39,£2.78 per kg,Buy 2 for £2.50
Barilla Lasagne,Barilla Lasagne500g,£1.29,£2.58 per kg,"Offer price £1.29, was £1.50"
Barilla Linguine,Barilla Linguine500g,£1.49,£2.98 per kg,Buy 2 for £2.50
Barilla Penne Rigate,Barilla Penne Rigate500g,£1.39,£2.78 per kg,Buy 2 for £2.50
Barilla Spaghetti,Barilla Spaghetti500g,£1.49,£2.98 per kg,Buy 2 for £2.50
Barilla Tortiglioni,Barilla Tortiglioni500g,£1.49,£2.98 per kg,Buy 2 for £2.50
Barilla Whole Wheat Fusilli Pasta,Barilla Whole Wheat Fusilli Pasta500g,£1.39,£2.78 per kg,Buy 2 for £2.50
Barilla Whole Wheat Spaghetti,Barilla Whole Wheat Spaghetti500g,£1.39,£2.78 per kg,Buy 2 for £2.50
Barny Chocolate Sponge Bears ,Barny Chocolate Sponge Bears 125g,£1.25,£1.00 per 100g,
Barratt Flumps Sugar Free ,Barratt Flumps Sugar Free 70g,£1.25,£1.79 per 100g,
Barratt Sherbet Dip Dab Single,Barratt Sherbet Dip Dab Single23g,55p,£2.39 per 100g,
Barratt Wham & Refresher Ice Duos,Barratt Wham & Refresher Ice Duos640ml,£1.50,23.4p per 100ml,
Barry's Tea Decaf 80 Tea Bags,Barry's Tea Decaf 80 Tea Bags250g,£5,£2.00 per 100g,
Bart Bay Leaves Refill,Bart Bay Leaves Refill3g,£1.50,£5.00 per 10g,Buy 2 for £2
Bart Black Peppercorns Refill,Bart Black Peppercorns Refill40g,£1.50,37.5p per 10g,Buy 2 for £2
Bart Cajun Seasoning Refill,Bart Cajun Seasoning Refill30g,£1.50,50p per 10g,Buy 2 for £2
Bart Chilli Flakes Refill,Bart Chilli Flakes Refill25g,£1.50,60p per 10g,Buy 2 for £2
Bart Chopped Chilli,Bart Chopped Chilli135g,£1.89,£1.40 per 100g,
Bart Chopped Garlic,Bart Chopped Garlic190g,£1.89,99.5p per 100g,
Bart Chopped Ginger,Bart Chopped Ginger180g,£1.89,£1.05 per 100g,
Bart Garam Masala Refill,Bart Garam Masala Refill35g,£1.50,42.9p per 10g,Buy 2 for £2
Bart Garlic Granules Refill,Bart Garlic Granules Refill40g,£1.50,37.5p per 10g,Buy 2 for £2
Bart Ginger Refill,Bart Ginger Refill30g,£1.50,50p per 10g,Buy 2 for £2
Bart Ground Cinnamon Refill,Bart Ground Cinnamon Refill30g,£1.50,50p per 10g,Buy 2 for £2
Bart Ground Coriander Refill,Bart Ground Coriander Refill30g,£1.50,50p per 10g,Buy 2 for £2
Bart Ground Cumin Refill,Bart Ground Cumin Refill35g,£1.50,42.9p per 10g,Buy 2 for £2
Bart Italian Herbs Refill,Bart Italian Herbs Refill13g,£1.50,£1.15 per 10g,Buy 2 for £2
Bart Mixed Herbs Refill,Bart Mixed Herbs Refill11g,£1.50,£1.36 per 10g,Buy 2 for £2
Bart Mixed Spice Carton Refill,Bart Mixed Spice Carton Refill30g,£1.50,50p per 10g,Buy 2 for £2
Bartons Hand-Pickled Cauliflower ,Bartons Hand-Pickled Cauliflower 439g,£1.85,42.1p per 100g,
Bartons Sweet Baby Balsamic Onions,Bartons Sweet Baby Balsamic Onions450g,£2,44.4p per 100g,
Bart Oregano Refil,Bart Oregano Refil13g,£1.50,£1.15 per 10g,Buy 2 for £2
Bart Paprika Refill,Bart Paprika Refill40g,£1.50,37.5p per 10g,Buy 2 for £2
Bart Pink Himalayan Salt Carton Refill,Bart Pink Himalayan Salt Carton Refill90g,£1.50,16.7p per 10g,Buy 2 for £2
Bart Smoked Paprika Refill,Bart Smoked Paprika Refill35g,£1.50,42.9p per 10g,Buy 2 for £2
Bart Thyme Refill,Bart Thyme Refill10g,£1.50,£1.50 per 10g,Buy 2 for £2
Bart Turmeric Refill,Bart Turmeric Refill40g,£1.50,37.5p per 10g,Buy 2 for £2
Batchelors Bigga Marrowfat Peas (300g),Batchelors Bigga Marrowfat Peas (300g)180g,75p,£4.17 per kg,Buy 2 for £1.30
Batchelors Big Pasta N Sauce Cheese & Broccoli ,Batchelors Big Pasta N Sauce Cheese & Broccoli 85g,£1.65,£19.41 per kg,
Batchelors Big Super Noodles Chicken,Batchelors Big Super Noodles Chicken100g,£1.65,£16.50 per kg,
Batchelors Chef Special Carmelised Onion & Smokey Bacon,Batchelors Chef Special Carmeli…99g,£1.69,£17.07 per kg,
Batchelors Chef Special Four Cheese,Batchelors Chef Special Four Cheese99g,£1.69,£17.07 per kg,
Batchelors Chip Shop Style Mushy Peas,Batchelors Chip Shop Style Mushy Peas300g,75p,£2.50 per kg,Buy 2 for £1.30
Batchelors Cup a Soup Beef & Tomato 4 Sachets,Batchelors Cup a Soup Beef & Tomato 4 Sachets88g,£1.29,£1.47 per 100g,Buy 2 for £2.50
Batchelors Cup a Soup Broccoli & Cauliflower 4 Sachets,Batchelors Cup a Soup Broccoli…101g,£1.29,£1.28 per 100g,Buy 2 for £2.50
Batchelors Cup a Soup Chicken & Leek 4 Sachets,Batchelors Cup a Soup Chicken & Leek 4 Sachets86g,£1.29,£1.50 per 100g,Buy 2 for £2.50
Batchelors Cup A Soup Chicken & Lemongrass 4 Pack ,Batchelors Cup A Soup Chick…88g,£1.29,£1.47 per 100g,Buy 2 for £2.50
Batchelors Cup a Soup Chicken & Vegetable with Croutons 4 Sachets,Batchelors Cup a Soup Chicken & Veget…110g,£1.29,£1.17 per 100g,Buy 2 for £2.50
Batchelors Cup a Soup Chicken Noodle 4 Sachets,Batchelors Cup a Soup Chicken Noodle 4 Sachets94g,£1.29,£1.37 per 100g,Buy 2 for £2.50
Batchelors Cup a Soup Cream of Asparagus with Croutons 4 Sachets,Batchelors Cup a Soup Cream of Aspara…117g,£1.29,£1.10 per 100g,Buy 2 for £2.50
Batchelors Cup a Soup Cream of Mushroom with Croutons 4 Sachets,Batchelors Cup a Soup Cream of Mushro…99g,£1.29,£1.30 per 100g,Buy 2 for £2.50
