name,Price Per Unit,Price Per Measure,Promotion
Koko Barista Milk Alternative,Koko Barista Milk Alternative750ml,£1.50,20p per 100ml,"Offer price £1.50, was £2"
Koko Dairy Free Unsweetened,Koko Dairy Free Unsweetened1L,£1.45,14.5p per 100ml,"Offer price £1.45, was £1.85"
Koko Fresh Original Plus Calcium Milk Alternative,Koko Fresh Original Plus Calcium Milk Alternative1L,£1.45,£1.45 per litre,"Offer price £1.45, was £1.85"
Lactofree Fresh Semi Skimmed,Lactofree Fresh Semi Skimmed1L,£1.50,£1.50 per litre,"Offer price £1.50, was £1.99"
Lactofree Fresh Skimmed Milk,Lactofree Fresh Skimmed Milk1L,£1.50,£1.50 per litre,"Offer price £1.50, was £1.99"
Lactofree Fresh Whole,Lactofree Fresh Whole1L,£1.50,£1.50 per litre,"Offer price £1.50, was £1.99"
Lactofree Mature Cheddar,Lactofree Mature Cheddar200g,£2.49,£12.45 per kg,
Lactofree        Spreadable       ,Lactofree        Spreadable       250g,£2.25,£9.00 per kg,
Lazy Day Foods Free From Millionaires Shortbread,Lazy Day Foods Free From Millionaires Shortbread150g,£2.49,£1.66 per 100g,
Lazy Day Tiffin,Lazy Day Tiffin150g,£2.49,£1.66 per 100g,
Linda McCartney's Organic Barista Coconut Drink,Linda McCartney's Organic…1L,£2,20p per 100ml,
Linda McCartney's Organic Barista Oat Drink,Linda McCartney's Organic Barista Oat Drink1L,£2,20p per 100ml,
Love Corn Smoked BBQ Crunchy Corn Snack,Love Corn Smoked BBQ Crunchy Corn Snack115g,£1.60,£1.39 per 100g,
McVitie's Gluten Free Milk Choc Hobnobs,McVitie's Gluten Free Milk Choc Hobnobs150g,£2.30,£1.53 per 100g,
Meatless Farm Plant-Based Burgers ,Meatless Farm Plant-Based Burgers 227g,£2,£8.81 per kg,"Offer price £2, was £2.50"
Meridian Free From Korma Cooking Sauce,Meridian Free From Korma Cooking Sauce350g,£2.25,64.3p per 100g,
Meridian Free From Tikka Masala Cooking Sauce,Meridian Free From Tikka Masala Cooking Sauce350g,£2.25,64.3p per 100g,
Milky Way Magic Stars Dairy Free Chocolate,Milky Way Magic Stars Dairy Free Chocolate25g,£1,£4.00 per 100g,
Milky Way Magic Stars Dairy Free Chocolate With Popping Candy,Milky Way Magic Stars Dairy Free Ch…25g,£1,£4.00 per 100g,
Mister Freed Avocado Guacamole Flavour Tortilla Chips,Mister Freed Avocado Guacamol…135g,£1.99,£1.47 per 100g,
Mister Freed Cheezie Cheese Flavour Tortilla Chips,Mister Freed Cheezie Cheese…135g,£1.99,£1.47 per 100g,
Moo Free White,Moo Free White20g,60p,£3.00 per 100g,
Morland Old Speckled Hen Gluten - Free (Abv 5%),Morland Old Speckled Hen Gluten - Free (Abv 5%)500ml,£2.09,£4.18 per litre,
Morrisons Free From 4 Chocolate & Nut Ice Cream Cones ,Morrisons Free From 4 Chocolate…4 x 120ml,£2.75,57.3p per 100ml,
Morrisons Free From 4 Lemon Cake Slices ,Morrisons Free From 4 Lemon Cake Slices 82g,£2.25,£2.74 per 100g,
Morrisons Free From 4 Victoria Sponge Slices,Morrisons Free From 4 Victoria Sponge Slices116g,£2.09,£1.80 per 100g,
Morrisons Free From 5 Swirly Chocolate Wafer Bars,Morrisons Free From 5 Swirl…100g,£1.79,£1.79 per 100g,
Morrisons Free From 6 Jam Tarts,Morrisons Free From 6 Jam Tarts255g,£2.69,£1.05 per 100g,
Morrisons Free From Bakewell Tart,Morrisons Free From Bakewell Tart195g,£2,£1.03 per 100g,
Morrisons Free From Batter Mix,Morrisons Free From Batter Mix100g,75p,75p per 100g,
Morrisons Free From Beef Gravy Granules,Morrisons Free From Beef Gravy Granules170g,£1.49,87.6p per 100g,
Morrisons Free From Beef Lasagne,Morrisons Free From Beef Lasagne300g,£2.50,83.3p per 100g,
Morrisons Free From Belgian Dark Chocolate & Orange Bar,Morrisons Free From Belgian Dar…100g,£1.79,£1.79 per 100g,
Morrisons Free From Belgian Dark Chocolate Bar,Morrisons Free From Belgi…100g,£1.79,£1.79 per 100g,
Morrisons Free From Breadcrumbs ,Morrisons Free From Breadcrumbs 170g,£1.29,75.9p per 100g,
Morrisons Free From Brioche Burger Buns,Morrisons Free From Brioche Burger Buns2 per pack,£1.99,99.5p each,
Morrisons Free From Brown Loaf,Morrisons Free From Brown Loaf535g,£1.89,35.3p per 100g,
Morrisons Free From Caramel Flavour Chocolate Bar,Morrisons Free From Caramel…100g,£1.79,£1.79 per 100g,
Morrisons Free From Carrot Cake ,Morrisons Free From Carrot Cake 420g,£3.99,95p per 100g,
Morrisons Free From Caterpillar Cake,Morrisons Free From Caterpillar Cake610g,£6,98.4p per 100g,
Morrisons Free From Cherry Bakewells,Morrisons Free From Cherry Bakewells2 per pack,£1.25,62.5p each,
Morrisons Free From Chicken Gravy Granules ,Morrisons Free From Chicken Gravy Granules 170g,£1.49,87.6p per 100g,
Morrisons Free From Choc Chip Brownie,Morrisons Free From Choc Chip Brownie120g,£2.05,£1.71 per 100g,
Morrisons Free From Choccy Bar,Morrisons Free From Choccy Bar35g,49p,£1.40 per 100g,
Morrisons Free From Choccy Buttons,Morrisons Free From Choccy Buttons25g,49p,£1.96 per 100g,
Morrisons Free From Chocolate Bar ,Morrisons Free From Chocolate Bar 100g,£1.79,£1.79 per 100g,
Morrisons Free From Chocolate Brownie Mix,Morrisons Free From Chocolate Brownie Mix284g,£1.69,59.5p per 100g,
Morrisons Free From Chocolate Buttons ,Morrisons Free From Chocolate Buttons 119g,£1.79,£1.50 per 100g,
Morrisons Free From Chocolate Chip Muffins ,Morrisons Free From Chocolate Chip Muffins 2 per pack,£1.75,87.5p each,
Morrisons Free From Chocolate Digestive Biscuits,Morrisons Free From Chocola…200g,£1.69,84.5p per 100g,
Morrisons Free From Chocolate Orange Cookies,Morrisons Free From Chocolate Orange Cookies150g,£1.69,£1.13 per 100g,
Morrisons Free From Cookies & Cream Cookies ,Morrisons Free From Cookies & Cream Cookies 180g,£1.69,93.9p per 100g,
Morrisons Free From Corn Flakes,Morrisons Free From Corn Flakes300g,£1.75,58.3p per 100g,
Morrisons Free From Crackers,Morrisons Free From Crackers200g,£1.65,82.5p per 100g,
Morrisons Free From Cream Crunchies,Morrisons Free From Cream Crunchies180g,£1.69,93.9p per 100g,
Morrisons Free From Crispy Flapjack Cereal Bar ,Morrisons Free From Crispy Flapjack Cereal Bar 55g,£1.09,£1.98 per 100g,
Morrisons Free From Dark Chocolate Clusters,Morrisons Free From Dark Chocolate Clusters160g,£2.65,£1.66 per 100g,
Morrisons Free From Digestive Biscuits,Morrisons Free From Digestive Biscuits160g,£1.69,£1.06 per 100g,
Morrisons Free From Dinosaurs Pasta,Morrisons Free From Dinosaurs Pasta250g,£1.19,£4.76 per kg,
Morrisons Free From Double Chocolate Cookies,Morrisons Free From Double Chocolate Cookies150g,£1.69,£1.13 per 100g,
Morrisons Free From Flapjack,Morrisons Free From Flapjack150g,£2.39,£1.59 per 100g,
Morrisons Free From Fruit Muesli,Morrisons Free From Fruit Muesli450g,£2.20,48.9p per 100g,
Morrisons Free From Fruity Almond Slices ,Morrisons Free From Fruity Almond Slices 4 per pack,£2.29,57.3p each,
Morrisons Free From Fruity Granola Cereal Bars,Morrisons Free From Fruity Granola Cereal Bars5 x 30g,£2.15,£1.43 per 100g,
Morrisons Free From Garlic & Herb Soft Cheese ,Morrisons Free From Garlic & Herb Soft Cheese 170g,£2.20,£12.94 per kg,
Morrisons Free From Gingerbread Person,Morrisons Free From Gingerbread Person50g,£1.39,£2.78 per 100g,
Morrisons Free From Ginger Snaps,Morrisons Free From Ginger Snaps180g,£1.69,93.9p per 100g,
Morrisons Free From Gluten Free Margherita Pizza ,Morrisons Free From Gluten…250g,£1.45,£5.80 per kg,
Morrisons Free From Gluten Free Pepperoni Pizza ,Morrisons Free From Gluten…250g,£2.35,£9.40 per kg,
Morrisons Free From Golden Syrup Pancakes,Morrisons Free From Golden Syrup Pancakes6 per pack,£2.19,36.5p each,
Morrisons Free From Golden Syrup Porridge,Morrisons Free From Golden Syrup Porridge55g,89p,£1.62 per 100g,
Morrisons Free From Grated Mozzarella Style,Morrisons Free From Grated Mozzarella Style200g,£2.65,£13.25 per kg,
Morrisons Free From Ham & Pineapple Pizza,Morrisons Free From Ham & Pineapple Pizza250g,£2.35,£9.40 per kg,
