name,Price Per Unit,Price Per Measure,Promotion
Ariel Colour All in Pods Washing Capsules Washes,Ariel Colour All in Pods Wa…13 per pack,£3.50,26.9p each,"Offer price £3.50, was £4.50"
Ariel Colour Washing Liquid Gel 24 Washes,Ariel Colour Washing Liquid Gel 24 Washes840ml,£5,£5.95 per litre,
Ariel Colour Washing Liquid Washes,Ariel Colour Washing Liquid Washes1785ml,£10,56p per 100ml,
Ariel Original All-in-1 Pods Washing Capsules Washes,Ariel Original All-in-1 Pods…13 per pack,£3.50,26.9p each,"Offer price £3.50, was £4.50"
Ariel Original All -in -one Pods Washing Capsules Washes,Ariel Original All -in -one Pod…51 per pack,£14,27.5p each,
Ariel Original All in 1 pods Washing Capsules,Ariel Original All in 1 pods Washing Capsules25 per pack,£7,28p each,
Ariel Original All in 1 Pods Washing Capsules Washes,Ariel Original All in 1 Pods…33 per pack,£7,21.2p each,"Offer price £7, was £10"
Ariel Original Washing Liquid Gel 24 Washes,Ariel Original Washing Liquid Gel 24 Washes840ml,£5,£5.95 per litre,
Ariel Original Washing Liquid Washes,Ariel Original Washing Liquid Washes1.225L,£6,49p per 100ml,"Offer price £6, was £8"
Ariel Original Washing Liquid Washes,Ariel Original Washing Liquid Washes1785ml,£10,56p per 100ml,
Ariel Original Washing Powder 50 Washes,Ariel Original Washing Powder 50 Washes3.25kg,£11,£3.38 per kg,
Ariel Platinum + Lenor All-in-1 pods Washing Capsules Washes,Ariel Platinum + Lenor All-in-1 pod…39 per pack,£10.50,26.9p each,
Ariel Platinum + Lenor All-in-1 pods Washing Capsules Washes ,Ariel Platinum + Lenor All-in-1 pod…44 per pack,£10.50,23.9p each,
Ariel Platinum Stain Remover Washing Liquid Gel 38 Washes,Ariel Platinum Stain Remover Wash…1330ml,£10,£7.52 per litre,
Ariel Plus Platinum Extra Stain Removal All-in-1 Pods Washing Capsules,Ariel Plus Platinum Extra Stain Removal A…29 per pack,£9,31p each,
Ariel Washing Liquid Gel Original 35 Washes,Ariel Washing Liquid Gel Original 35 Washes1225ml,£8,£6.53 per litre,
Ariel Washing Powder Original 40 Washes,Ariel Washing Powder Original 40 Washes2.6kg,£9,£3.46 per kg,
Astonish Freshness Selection Concentrated Disinfectant,Astonish Freshness Selection Co…300ml,£1.25,£4.17 per litre,
Astonish Hob Cleaner,Astonish Hob Cleaner500ml,£2,£4.00 per litre,
Astonish Linen Fresh Ready To Use Disinfectant,Astonish Linen Fresh Ready To Use Disinfectant550ml,£1.25,£2.27 per litre,
Astonish Mould & Mildew Spray,Astonish Mould & Mildew Spray750ml,£1.25,£1.67 per litre,
Astonish Pink Roses Ready To Use Disinfectant,Astonish Pink Roses Ready To Use Disinfectant550ml,£1.25,£2.27 per litre,
