name,Price Per Unit,Price Per Measure,Promotion
Diet Coke ,Diet Coke 30 x 330ml,£10,10.1p per 100ml,"Offer price £10, was £14 - Online Exclusive"
Diet Coke ,Diet Coke 2L,£1.99,10p per 100ml,Buy 2 for £3.50
Diet Coke ,Diet Coke 4 x 250ml,£2.50,25p per 100ml,"Offer price £2.50, was £3.89"
Diet Coke,Diet Coke6 x 250ml,£2,13.3p per 100ml,"Offer price £2, was £3.20"
Diet Coke ,Diet Coke 500ml,£1.79,35.8p per 100ml,Buy 2 for £2.50
Diet Coke,Diet Coke6 x 250ml,£5.39,35.9p per 100ml,
Diet Coke,Diet Coke1L,£1.20,12p per 100ml,
Diet Coke ,Diet Coke 4 x 330ml,£2.50,18.9p per 100ml,
Diet Coke No Caffeine ,Diet Coke No Caffeine 8 x 330ml,£3.75,14.2p per 100ml,
Diet Coke No Caffeine ,Diet Coke No Caffeine 2L,£1.99,10p per 100ml,Buy 2 for £3.50
Diet Pepsi,Diet Pepsi2L,£1.99,10p per 100ml,Buy 2 for £3.50
Diet Pepsi,Diet Pepsi1.25L,£1,8p per 100ml,"Offer price £1, was £1.40"
Diet Pepsi Caffeine Free,Diet Pepsi Caffeine Free2L,£1.99,10p per 100ml,Buy 2 for £3.50
Diet Pepsi Caffeine Free    ,Diet Pepsi Caffeine Free    8 x 330ml,£3.85,14.6p per 100ml,
Diet Pepsi Cans,Diet Pepsi Cans8 x 330ml,£3.85,14.6p per 100ml,
Diet Pepsi Cans,Diet Pepsi Cans24 x 330ml,£9.50,12p per 100ml,
Don Simon Lemon & Strawberry Juice,Don Simon Lemon & Strawberry Juice1.5L,£1.25,8.3p per 100ml,
Dr Pepper ,Dr Pepper 2L,£1.99,10p per 100ml,Buy 2 for £3
Dr Pepper,Dr Pepper4 x 330ml,£2.50,18.9p per 100ml,
Dr Pepper ,Dr Pepper 8 x 330ml,£3.50,13.3p per 100ml,
Dr Pepper ,Dr Pepper 18 x 330ml,£6.50,10.9p per 100ml,"Offer price £6.50, was £7.50"
