name,Price Per Unit,Price Per Measure,Promotion
Morrisons Pine Nuts ,Morrisons Pine Nuts 100g,£3.75,£3.75 per 100g,
Morrisons Pink Lady Apples,Morrisons Pink Lady Apples4 per pack,£2.15,53.8p each,Buy 3 for the Price of 2
Morrisons Pistachios,Morrisons Pistachios175g,£2.49,£14.23 per kg,Buy 2 for £4
Morrisons Plum Punnet,Morrisons Plum Punnet1kg,£2.19,£2.19 per kg,
Morrisons Plums,Morrisons Plums400g,99p,£2.48 per kg,
Morrisons Pomegranate,Morrisons Pomegranate80g,£1.15,£1.44 per 100g,
Morrisons Pomegranate,Morrisons Pomegranate200g,£2.25,£1.13 per 100g,
Morrisons  Potato & Egg Salad,Morrisons  Potato & Egg Salad275g,£1.99,72.4p per 100g,
Morrisons Potato Croquettes ,Morrisons Potato Croquettes 250g,£1.99,£7.96 per kg,
Morrisons Potato Wedges,Morrisons Potato Wedges500g,£1.49,29.8p per 100g,
Morrisons Protein Noodles,Morrisons Protein Noodles275g,£1.49,54.2p per 100g,Buy 3 for £2.50
Morrisons Prunes,Morrisons Prunes250g,£1.99,79.6p per 100g,
Morrisons Pumpkin Seeds,Morrisons Pumpkin Seeds150g,99p,66p per 100g,
Morrisons Purple Aubergine,Morrisons Purple Aubergine,85p,,
Morrisons Radish ,Morrisons Radish 200g,59p,£2.95 per kg,
Morrisons Rainbow Dyed Lilies,Morrisons Rainbow Dyed Lilies,£6.99,,
Morrisons Rainbow Roses,Morrisons Rainbow Roses,£9.99,,
Morrisons Raspberries ,Morrisons Raspberries 150g,£2.15,£14.33 per kg,Buy 3 for the Price of 2
Morrisons Raspberries,Morrisons Raspberries250g,£2.99,£1.20 per 100g,
Morrisons Ready To Eat Avocado,Morrisons Ready To Eat Avocado,99p,,
Morrisons Ready to Eat Avocados Min,Morrisons Ready to Eat Avocados Min2 per pack,£1.69,84.5p each,
Morrisons Ready To Eat Corn on the Cob ,Morrisons Ready To Eat Corn on the Cob 2 per pack,£1.75,87.5p each,
