name,Price Per Unit,Price Per Measure,Promotion
Catit Creamy Lickable Cat Treats Salmon & Prawn,Catit Creamy Lickable Cat Treats Salmon & Prawn4 x 10g,£2.05,£5.13 per 100g,
Catit Creamy Lickable Treats Chicken & Lamb,Catit Creamy Lickable Treats Chicken & Lamb4 x 10g,£2.05,£5.13 per 100g,
Catit Creamy Lickable Treats Tuna,Catit Creamy Lickable Treats Tuna4 x 10g,£2.05,£5.13 per 100g,
Catit Divine Shreds Chicken with Liver Wet Cat Food,Catit Divine Shreds Chicken w…75g,£1.50,£2.00 per 100g,
Catit Fish Dinner Whitefish & Pumpkin Wet Cat Food,Catit Fish Dinner Whitefish…80g,£1.50,£1.88 per 100g,
Catit Flower Fountain with LED Nightlight,Catit Flower Fountain with LED Nightlight,£32.15,£32.15 each,
Catit Fresh & Clear Pet Luxury Water Fountain Replacement Cartridges,Catit Fresh & Clear Pet Luxury Water Fo…,£8.50,£8.50 each,
Catit Go Natural Wood Cat Litter 15L,Catit Go Natural Wood Cat Litter 15L,£16,£16.00 each,
Catit Go Natural Wood Cat Litter 6L,Catit Go Natural Wood Cat Litter 6L,£7,£7.00 each,
Catit Mini Fountain Replacement Filter 3 Pack,Catit Mini Fountain Replacement Filter 3 Pack,£4.80,£4.80 each,
Catit Nibbly Grills Chicken & Lobster Cat Treat,Catit Nibbly Grills Chicken & Lobster Cat Treat30g,£2.05,£6.83 per 100g,
Catit Nibbly Grills Chicken & Prawn Cat Treat,Catit Nibbly Grills Chicken & Prawn Cat Treat30g,£2.05,£6.83 per 100g,
Catit Nibbly Grills Chicken & Scallop Cat Treat,Catit Nibbly Grills Chicken & Scallop Cat Treat30g,£2.05,£6.83 per 100g,
Catit Nibbly Jerk Chicken & Fish Cat Treat,Catit Nibbly Jerk Chicken & Fish Cat Treat30g,£2.05,£6.83 per 100g,
Catit Nibbly Jerk Chicken Cat Treat,Catit Nibbly Jerk Chicken Cat Treat30g,£2.05,£6.83 per 100g,
Catit Nibbly Wraps Chicken & Fish Cat Treat,Catit Nibbly Wraps Chicken & Fish Cat Treat30g,£2.05,£6.83 per 100g,
Catit Play Circuit Ball Red Cat Toy,Catit Play Circuit Ball Red Cat Toy,£13.30,£13.30 each,
Catit Play Circuit Massage Blue Cat Toy,Catit Play Circuit Massage Blue Cat Toy,£12.75,£12.75 each,
Catit Play Treat Spinner Cat Toy,Catit Play Treat Spinner Cat Toy,£10.30,£10.30 each,
Catit Play Tumbler Bee Cat Toy,Catit Play Tumbler Bee Cat Toy,£11.90,£11.90 each,
Catit Senses Super Roller Circuit Cat Toy,Catit Senses Super Roller Circuit Cat Toy,£17.20,£17.20 each,
Catit Treat Ball -Blue,Catit Treat Ball -Blue,£5.80,£5.80 each,
Catit Treat Ball  Pink,Catit Treat Ball  Pink,£4.55,£4.55 each,
Catit Voyageur Carrier Small Cherry Red,Catit Voyageur Carrier Small Cherry Red,£25,£25.00 each,
Catit Voyageur Carrier Small Turquoise,Catit Voyageur Carrier Small Turquoise,£25,£25.00 each,
Catkins Retractable Wand Cat Teaser,Catkins Retractable Wand Cat Teaser,£5,£5.00 each,
Catsan Hygiene Non-Clumping Odour Control  Cat Litter,Catsan Hygiene Non-Clumping O…10L,£9,90p per litre,
Catsan Hygiene Non-Clumping Odour Control Cat Litter ,Catsan Hygiene Non-Clumping O…20L,£16.99,85p per litre,
Catsan Hygiene Non-Clumping Odour Control Cat Litter,Catsan Hygiene Non-Clumping O…5L,£6.75,£1.35 per litre,
Catsan Hygiene Smart Pack 2x Inlays Cat Litter Dust-Free Litter Tray Liner,Catsan Hygiene Smart Pack 2x Inlays Cat Lit…,£10.25,,
Catsan Ultra Clumping Odour Control Cat Litter ,Catsan Ultra Clumping Odour Control Cat Litter 5L,£10,£2.00 per litre,
Cat's Best Original Clumping Cat Litter,Cat's Best Original Clumping Cat Litter,£10.50,£1.05 per litre,
Cat's Best Sensitive Clumping Cat Litter,Cat's Best Sensitive Clumping Cat Litter8L,£9.20,£1.15 per litre,
Cat's Best Universal Strawberry Non-Clumping Cat Litter & Small Pet Bedding,Cat's Best Universal Strawberry…10L,£7.50,75p per litre,
Cesar Classics Terrine Dog Food Trays Mixed In Loaf,Cesar Classics Terrine Dog Food Trays Mixed In Loaf8 x 150g,£6.75,£5.63 per kg,
Cesar Country Stew Adult Wet Dog Food Trays Special Selection,Cesar Country Stew Adult Wet Dog Fo…8 x 150g,£6.75,£5.63 per kg,
Cesar Deliciously Fresh Dog Food Pouches Mixed Selection In Sauce,Cesar Deliciously Fresh Dog Food Pouc…12 x 100g,£6.75,56.3p per 100g,
Cesar Garden Terrine Dog Food Tray Mixed in Loaf ,Cesar Garden Terrine Dog Food Tray Mixed in Loaf 8 x 150g,£6.75,£5.63 per kg,
Cesar Hearty Casserole Adult Wet Dog Food Trays Mixed ,Cesar Hearty Casserole Adult We…8 x 150g,£5.70,£4.75 per kg,
Cesar Juicy Hotpot Adult Wet Dog Food Trays Mixed in Gravy,Cesar Juicy Hotpot Adult Wet Dog…8 x 150g,£6.75,56.3p per 100g,
Cesar Senior Wet Dog Food Pouches Mixed Selection in Jelly,Cesar Senior Wet Dog Food Pouches…12 x 100g,£6.75,56.3p per 100g,
Cesar Senior Wet Dog Food Trays Meat in Delicate Jelly ,Cesar Senior Wet Dog Food Trays…8 x 150g,£6.75,56.3p per 100g,
Chappie Adult Wet Dog Food Tin Original In Loaf ,Chappie Adult Wet Dog Food Tin Original In Loaf 412g,£1.50,£3.64 per kg,
Chappie Adult Wet Dog Food Tins Chicken & Rice In Loaf,Chappie Adult Wet Dog Food Tins…6 x 412g,£8.50,34.4p per 100g,
Chappie Adult Wet Dog Food Tins Favourites In Loaf ,Chappie Adult Wet Dog Food Ti…6 x 412g,£8.50,£3.44 per kg,
Chappie Complete Adult Dry Dog Food Chicken & Wholegrain Cereal,Chappie Complete Adult Dry Dog Food C…3kg,£9,£3.00 per kg,
Chappie Complete Adult Dry Dog Food Chicken & Wholegrain Cereal,Chappie Complete Adult Dry Dog Food C…3kg,£9,£3.00 per kg,
Chappie Dog Food,Chappie Dog Food24 x 412g,£27,27.3p per 100g,
Chipsi Apple Shavings,Chipsi Apple Shavings1kg,£2.50,£2.50 per kg,
