name,Price Per Unit,Price Per Measure,Promotion
Birds Eye 6 Crispy Chicken Grills in Tempura Batter,Birds Eye 6 Crispy Chicken Grills in Tempura Batter510g,£5.63,£11.04 per kg,
Birds Eye 6 Green Cuisine Vegan Cumberland Style Sausages,Birds Eye 6 Green Cuisine Vegan C…300g,£2.99,£9.97 per kg,
Birds Eye 6 Original Chicken Chargrills ,Birds Eye 6 Original Chicken Chargrills 510g,£5.59,£10.96 per kg,
Birds Eye 6 Southern Fried Chicken Grills,Birds Eye 6 Southern Fried Chicken Grills540g,£5.63,£10.43 per kg,
Birds Eye 6 Sweet & Sticky Bbq Chicken Chargrills ,Birds Eye 6 Sweet & Sticky Bbq Chicken Chargrills 522g,£5.59,£10.71 per kg,
Birds Eye 8 Battered Fish Fingers,Birds Eye 8 Battered Fish Fingers224g,£1.50,£6.69 per kg,"Offer price £1.50, was £1.99"
Birds Eye Chicken Shop 2 Sizzler Fillet Burgers,Birds Eye Chicken Shop 2 Sizzler Fillet Burgers227g,£4.09,£18.02 per kg,
Birds Eye Chicken Shop 2 Ultimate Fillet Burgers,Birds Eye Chicken Shop 2 Ultimate Fillet Burgers227g,£4.09,£18.02 per kg,
Birds Eye Chicken Shop Buttermilk Chicken Strips,Birds Eye Chicken Shop Buttermilk Chicken Strips350g,£3.50,£10.00 per kg,"Offer price £3.50, was £5.29"
Birds Eye Chicken Shop Hot & Fiery Chicken Breast Chunks,Birds Eye Chicken Shop Hot & Fi…350g,£3.50,£10.00 per kg,"Offer price £3.50, was £5.29"
Birds Eye Chicken Shop Salt & Pepper Chicken Goujons,Birds Eye Chicken Shop Salt &…325g,£4.09,£1.26 per 100g,
Birds Eye Chicken Shop Texas Style BBQ Popcorn,Birds Eye Chicken Shop Texas Style BBQ Popcorn325g,£4.09,£12.58 per kg,
Birds Eye Cod Fish Cakes 4 Pack,Birds Eye Cod Fish Cakes 4 Pack198g,£1.59,£8.03 per kg,
Birds Eye Garden Peas,Birds Eye Garden Peas800g,£2.79,£3.49 per kg,
Birds Eye Garden Peas,Birds Eye Garden Peas375g,£1.40,£3.74 per kg,"Offer price £1.40, was £1.60"
Birds Eye Garden Peas,Birds Eye Garden Peas1.2kg,£3.75,£3.13 per kg,
Birds Eye Gluten Free 12 Fish Fingers ,Birds Eye Gluten Free 12 Fish Fingers 360g,£3.25,£9.03 per kg,"Offer price £3.25, was £3.75"
Birds Eye Green Cuisine Vegan Chicken Free Dippers,Birds Eye Green Cuisine Veg…220g,£2.99,£13.59 per kg,
Birds Eye Green Cuisine Vegan Chicken Free Southern Fried Strips,Birds Eye Green Cuisine Vegan Chicken…210g,£2.99,£14.24 per kg,
Birds Eye Original Arctic Roll Raspberry,Birds Eye Original Arctic Roll Raspberry250g,£1.69,67.6p per 100g,"Offer price £1.69, was £1.79"
Birds Eye Petits Pois,Birds Eye Petits Pois545g,£2.35,£4.31 per kg,
Birds Eye Petits Pois ,Birds Eye Petits Pois 960g,£3,£3.13 per kg,"Offer price £3, was £3.59"
Birds Eye Seeded Crust 2 Fish Fillets With Pumpkin Seeds ,Birds Eye Seeded Crust 2 Fish Fil…220g,£1.49,£6.77 per kg,
Birds Eye Supersweet Sweetcorn,Birds Eye Supersweet Sweetcorn640g,£2.85,£4.45 per kg,
Birds Eye Traditional Roast Beef Dinner ,Birds Eye Traditional Roast Beef Dinner 400g,£2.75,68.8p per 100g,
Birds Eye Veggie Power Seasoned Butternut Squash & Quinoa ,Birds Eye Veggie Power Seasoned B…400g,£2.29,57.3p per 100g,
Birds Eye Veggie Power Spiced Courgette & Bulgar Wheat ,Birds Eye Veggie Power Spiced C…400g,£2.29,57.3p per 100g,
Bisto Bangers & Mash,Bisto Bangers & Mash375g,£1.69,£4.51 per kg,
Bisto Classic Chilli Con Carne ,Bisto Classic Chilli Con Carne 375g,£1.69,£4.51 per kg,
Bisto Cottage Pie     ,Bisto Cottage Pie     375g,£1.69,£4.51 per kg,
Bisto Roast Beef Dinner,Bisto Roast Beef Dinner400g,£2.89,£7.23 per kg,Buy 2 for £5
Bisto Roast Chicken Dinner,Bisto Roast Chicken Dinner450g,£2.89,£6.42 per kg,Buy 2 for £5
Bisto Shepherd's Pie,Bisto Shepherd's Pie375g,£1.69,£4.51 per kg,
Bisto Yorkshire Puddings ,Bisto Yorkshire Puddings 190g,£1.95,£10.26 per kg,
Bounty Ice Cream,Bounty Ice Cream4 x 39.1g,£2.49,£1.59 per 100g,Buy 2 for £4
Brew City BBQ Mozzarella Melts,Brew City BBQ Mozzarella Melts220g,£2.99,£1.36 per 100g,
Brew City Halloumi Fries ,Brew City Halloumi Fries 150g,£2.99,£1.99 per 100g,
Brew City Mozzarella Gouda Cheese Bites,Brew City Mozzarella Gouda Cheese Bites200g,£2.99,£1.50 per 100g,
Cadbury Caramel Ice Cream Tub,Cadbury Caramel Ice Cream Tub480ml,£3.29,68.5p per 100ml,Buy 2 for £5
