name,Price Per Unit,Price Per Measure,Promotion
Grace Original Aloe Vera Juice Drink,Grace Original Aloe Vera Juice Drink500ml,£1.29,25.8p per 100ml,
Grace Pumpkin Soup Mix,Grace Pumpkin Soup Mix50g,69p,£1.38 per 100g,
Grace Spicy Cock Soup Mix,Grace Spicy Cock Soup Mix50g,69p,£1.38 per 100g,
Grace Strawberry Aloe Vera Juice Drink,Grace Strawberry Aloe Vera Juice Drink500ml,£1.09,21.8p per 100ml,
Greenfields Bay Leaves,Greenfields Bay Leaves30g,£1,33.3p per 10g,
Greenfields Curry Leaves,Greenfields Curry Leaves12g,75p,62.5p per 10g,
Greenfields Harissa Spice,Greenfields Harissa Spice75g,£1,13.3p per 10g,
Greenfields Hibiscus Flower,Greenfields Hibiscus Flower65g,75p,11.5p per 10g,
Greenfields Himalayan Salt,Greenfields Himalayan Salt200g,75p,3.8p per 10g,
Greenfields Mint,Greenfields Mint50g,£1,20p per 10g,
Greenfields Mixed Herbs,Greenfields Mixed Herbs50g,£1,20p per 10g,
Greenfields Oregano,Greenfields Oregano50g,£1,20p per 10g,
Greenfields Preserved Lemons,Greenfields Preserved Lemons750g,£1.99,£2.65 per kg,
Greenfields Ras Al Hanout Spice,Greenfields Ras Al Hanout Spice75g,£1,13.3p per 10g,
Greenfields Sumaq Spice      ,Greenfields Sumaq Spice      75g,£1,13.3p per 10g,
Greenfields Turkish Chilli Flakes,Greenfields Turkish Chilli Flakes75g,£1,13.3p per 10g,
Greenfields Za'Atar ,Greenfields Za'Atar 50g,75p,15p per 10g,
Greenfiels Lebanese Shawarma,Greenfiels Lebanese Shawarma75g,£1,13.3p per 10g,
Healthy Boy Brand Thai Sweet Chilli Sauce,Healthy Boy Brand Thai Sweet Chilli Sauce700ml,£2.75,39.3p per 100ml,
Healthy Boy Brand Thick Oyster Sauce,Healthy Boy Brand Thick Oyster Sauce700ml,£2.75,39.3p per 100ml,
Healthy Boy Brand Thin Soy Sauce,Healthy Boy Brand Thin Soy Sauce700ml,£2.75,39.3p per 100ml,
Hell Energy Drink Classic,Hell Energy Drink Classic250ml,70p,28p per 100ml,
Hello Panda Chocolate Biscuits,Hello Panda Chocolate Biscuits50g,£1.30,£2.60 per 100g,
Hello Panda Strawberry Biscuits ,Hello Panda Strawberry Biscuits 50g,£1.30,£2.60 per 100g,
Hesh Maha Narayan Oil,Hesh Maha Narayan Oil100ml,£7,£7.00 per 100ml,
Hesh             Pure Virgin Blackseed Oil ,Hesh             Pure Virgin Blackseed Oil 100ml,£7,£7.00 per 100ml,
Hilalturk Chicken Beef Salami      ,Hilalturk Chicken Beef Salami      500g,£1.80,36p per 100g,
Hilalturk Chicken Salami   ,Hilalturk Chicken Salami   500g,£1.80,36p per 100g,
Hot & Crispy Extra Crispy Sweet Potato Fries,Hot & Crispy Extra Crispy Sweet Potato Fries1kg,£4,£4.00 per kg,
Hovis Best of Both Medium Bread,Hovis Best of Both Medium Bread750g,£1.19,15.9p per 100g,
Hovis Best of Both Thick Bread,Hovis Best of Both Thick Bread750g,£1.19,15.9p per 100g,
Hovis Granary Wholemeal Bread,Hovis Granary Wholemeal Bread800g,£1.95,24.4p per 100g,"Offer price £1.95, was £2.15"
Hovis Nimble Wholemeal Bread,Hovis Nimble Wholemeal Bread400g,£1.29,32.3p per 100g,
Hovis Original Granary Medium Bread,Hovis Original Granary Medium Bread800g,£1.95,24.4p per 100g,"Offer price £1.95, was £2.15"
Hovis Seed Sensations Seven Seeds Bread,Hovis Seed Sensations Seven Seeds Bread800g,£2.15,26.9p per 100g,
Hovis Soft White Extra Thick Bread,Hovis Soft White Extra Thick Bread800g,£1.45,18.1p per 100g,Buy 2 for £2.50
